Author,Original,Translated,Score,Category
@Morinixcape650,Lo vi otra vez!!! Bueno bssta!!! Tengo que dormir!!! 😂❤,I saw it again!!! Well bssta!!! I have to sleep!!! 😂❤,0.8852,Positive
@Morinixcape650,Veo que a algunos no les gustó segun otro comentario...ademas de la falta de BUEN GUSTO deberian hacerse un psicologico!!!! Estan muy muy perdidos pobre gente...😢 😂😂😂,"I see that some didn't like it according to another comment...in addition to the lack of GOOD TASTE, they should have a psychological test!!!! They are very very lost poor people...😢 😂😂😂",-0.4326,Negative
@Morinixcape650,"Hermosa voz hermosa ejecucion y hermosa ella, la veo  desde sus primeras presentaciones en concursos muy chiquita. Ha trabajado mucho para conseguí destacar. ❤❤❤","Beautiful voice, beautiful performance and she is beautiful, I have seen her since her first presentations in very young competitions. He has worked hard to stand out. ❤❤❤",0.9774,Positive
@johnh2025,"Beautifully done, thank you Daneliya","Beautifully done, thank you Daneliya",0.7351,Positive
@SaritaSings.,stunning❤,stunning❤,0.7783,Positive
@davidlevine1697,blown away by your rendition of this song. the depth of your voice has been apparent since you sang stone cold years ago.,blown away by your rendition of this song. the depth of your voice has been apparent since you sang stone cold years ago.,0.0,Neutral
@andromagik,...Превзела си плейлистите ми...което е и беля и радост...,...You've taken over my playlists...which is both a pain and a joy...,0.128,Positive
@damonpreusch880,what talent means...   listen   ...you can hear it now,what talent means...   listen   ...you can hear it now,0.4215,Positive
@hernanquinteroelnumero7611,Hermosa voz ❣️,Beautiful voice ❣️,0.8442,Positive
@ViktorAsher,"Данелия,  ты лучшая!","Danelia, you are the best!",0.6696,Positive
@кто-тоточно-э7й,"Have it all, rip our memories off the wall
All the special things I bought
They mean nothing to me anymore
But to you, they were everything we were
They meant more than every word
Now I know just what you love me for (Mmm)

[Pre-Chorus]
Take all the money you want from me
Hope you become what you want to be
Show me how little you care
How little you care, how little you care
You dream of glitter and gold
My heart's already been sold
Show you how little I care
How little I care, how little I care

[Chorus]
My diamonds leave with you (Mmm)
You're never gonna hear my heart break (Mmm)
Never gonna move in dark ways (Mmm)
Baby, you're so cruel
My diamonds leave with you (Mmm)
Material love won't fool me (Mmm)
When you're not here, I can't breathe (Mmm)
Think I always knew
My diamonds leave with you (Diamonds, diamonds, diamonds, diamonds)

[Verse 2]
Shake it off, shake the fear of feeling lost
Always me that pays the cost
I should never trust so easily
You lied to me, lie-lied to me
Then left with my heart 'round your chest (Mmm)","Have it all, rip our memories off the wall
All the special things I bought
They mean nothing to me anymore
But to you, they were everything we were
They meant more than every word
Now I know just what you love me for (Mmm)

[Pre-Chorus]
Take all the money you want from me
Hope you become what you want to be
Show me how little you care
How little you care, how little you care
You dream of glitter and gold
My heart's already been sold
Show you how little I care
How little I care, how little I care

[Chorus]
My diamonds leave with you (Mmm)
You're never gonna hear my heart break (Mmm)
Never gonna move in dark ways (Mmm)
Baby, you're so cruel
My diamonds leave with you (Mmm)
Material love won't fool me (Mmm)
When you're not here, I can't breathe (Mmm)
Think I always knew
My diamonds leave with you (Diamonds, diamonds, diamonds, diamonds)

[Verse 2]
Shake it off, shake the fear of feeling lost
Always me that pays the cost
I should never trust so easily
You lied to me, lie-lied to me
Then left with my heart 'round your chest (Mmm)",0.9913,Positive
@andromagik,...Както радваш и мен...😄,...As you make me happy too...😄,0.8481,Positive
@andromagik,...Спомни си въртелешките в  двора...поздрави близките...,...Remember the merry-go-rounds in the yard...greet the relatives...,0.0,Neutral
@andromagik,"...Радвай се...,но се и страхувай...пази се , внимавай...не знам друго....","...Rejoice...,but also be afraid...take care, be careful...I don't know anything else....",0.4939,Positive
@andromagik,"...Прости ми, че се опитвам , да се грижа за Теб...Но близките са далеч...",...Forgive me for trying to take care of you...But the relatives are far away...,0.6486,Positive
@andromagik,https://www.youtube.com/watch?v=2f54fP0eVKM&t=87s,https://www.youtube.com/watch?v=2f54fP0eVKM&t=87s,0.0,Neutral
@andromagik,"...Ще загубя Основата...,а и Ти...","...I will lose the Foundation...,and so will You...",-0.4019,Negative
@andromagik,"...И не давай повод, за съмнение...",...And give no reason for doubt...,-0.5719,Negative
@andromagik,"...Ти Си Отрицание на ежедневното, но колко останали , го практикуват...за отселяване...","...You are a Denial of the everyday, but how many others practice it...for resettlement...",0.0,Neutral
@andromagik,"...Разбери едно...откакто поникнат гърдите(за жените, не за другите), всичко се променя. Усетила си го , знам. Но , не е смисъл, професия да. Но Смисъл, просто казано ...само това ли трябва...","...Understand one thing...since breasts sprout (for women, not others), everything changes. You felt it, I know. But, it's not a point, profession yes. But Meaning, simply put...is that all it takes...",0.5499,Positive
@andromagik,...Извини за умалителното...,...Sorry for the diminutive...,-0.0772,Negative
@andromagik,...Sorry for the diminutive...,...Sorry for the diminutive...,-0.0772,Negative
@andromagik,"...Данелийка...не мога, да съм в твоите стъпки...,но съм около...И съм от малкото, които се радват...",...Daneliika...I can't be in your footsteps...but I'm around...And I'm one of the few who are happy...,0.5719,Positive
@andromagik,...Daneliika...I can't be in your footsteps...but I'm around...And I'm one of the few who are happy...,...Daneliika...I can't be in your footsteps...but I'm around...And I'm one of the few who are happy...,0.5719,Positive
@МихаилБурнусуз,Невероятная! БОЖЕСТВЕННАЯ!,Incredible! DIVINE!,0.7359,Positive
@andromagik,"...Трептя си...моменти, които ми взимат ума...радват душата...Искам да прегърна ... всички тези ...същества...но ръцете ми не достигат...",...I tremble...mind-blowing moments...soul-pleasing...I want to hug...all these...creatures...but my arms can't reach...,0.0583,Positive
@andromagik,...I tremble...mind-blowing moments...soul-pleasing...I want to hug...all these...creatures...but my arms can't reach...,...I tremble...mind-blowing moments...soul-pleasing...I want to hug...all these...creatures...but my arms can't reach...,0.0583,Positive
@andromagik,...I'm trembling...,...I'm trembling...,-0.3612,Negative
@andromagik,https://www.youtube.com/watch?v=yU1knfz15xI&list=RDGMEMQ1dJ7wXfLlqCjwV0xfSNbA&index=4,https://www.youtube.com/watch?v=yU1knfz15xI&list=RDGMEMQ1dJ7wXfLlqCjwV0xfSNbA&index=4,0.0,Neutral
@andromagik,"...Треперя...заради музиката и изпълнението...начина, лицето,очите,ръцете,облеклото,погледа,прическата...и това. че ноктопластиката е умерена(видя ли удължени нокти...настръхвам...мое мнение) хахаха...споделям...не ме кори...","...I tremble...because of the music and the performance...the manner, the face, the eyes, the hands, the clothes, the look, the hair...and this. that the nail art is moderate (did I see extended nails...it makes me cringe...my opinion) hahaha...I share...don't blame me...",0.2584,Positive
@andromagik,"...I tremble...because of the music and the performance...the way, the face, the eyes, the hands, the clothes, the look, the hair...and this. that the nail art is moderate (did I see extended nails...it makes me cringe...my opinion) hahaha...I share...don't blame me...","...I tremble...because of the music and the performance...the way, the face, the eyes, the hands, the clothes, the look, the hair...and this. that the nail art is moderate (did I see extended nails...it makes me cringe...my opinion) hahaha...I share...don't blame me...",0.2584,Positive
@Ili4Elnino,Как приятно смотреть на тебя и слушать.,How nice it is to look at you and listen to you.,0.4215,Positive
@ИринаСкорогонова-ъ9н,"Данеличка милая ,красивая талантище. ОБОЖАЮ ТВОЕ ПЕНИЕ!!! ТЫ ГЕНИЙ!!!","Danelichka is sweet, beautiful and talented. I LOVE YOUR SINGING!!! YOU ARE A GENIUS!!!",0.9538,Positive
